District,Crop,Season,Year,Area_Cultivated,Rainfall,Temperature,Population,Production,Demand
Vizianagaram,Maize,Rabi,2021,5318,930.66,26.7,3300000,24845.54,215290.24
Vizianagaram,Chilies,Kharif,2012,12479,1070.06,27.95,3300000,31246.25,22015.6
Visakhapatnam,Groundnut,Rabi,2019,8398,720.39,23.63,3600000,16083.0,102070.01
West Godavari,Chilies,Kharif,2023,3452,1051.48,36.4,4300000,7871.91,25336.59
West Godavari,Groundnut,Rabi,2010,22672,459.86,26.58,4300000,41288.95,109322.9
East Godavari,Maize,Rabi,2010,34193,443.25,26.14,2100000,145857.01,116196.71
West Godavari,Rice,Rabi,2018,14865,891.72,36.72,4300000,50733.38,439991.69
Prakasam,Rice,Summer,2018,26345,1083.13,34.89,3300000,103999.07,359102.7
Guntur,Chilies,Summer,2014,47275,1103.18,24.26,2100000,78902.77,15101.38
Sri Potti Sriramulu Nellore,Rice,Rabi,2018,21359,879.37,34.31,3100000,57253.81,283625.17
East Godavari,Groundnut,Kharif,2020,9799,772.94,36.61,2100000,17007.79,40905.89
Krishna,Cotton,Kharif,2016,24053,598.25,23.26,4200000,24532.37,51422.01
East Godavari,Groundnut,Rabi,2018,35892,1182.0,35.2,2100000,56340.8,37018.67
Prakasam,Cotton,Summer,2021,18684,587.73,30.76,3300000,14790.63,47002.07
Krishna,Maize,Kharif,2016,6015,969.77,32.71,4200000,24556.66,174943.75
Sri Potti Sriramulu Nellore,Sugarcane,Summer,2018,32665,778.78,29.89,3100000,2257004.37,823805.54
Prakasam,Cotton,Kharif,2011,9657,847.66,33.16,3300000,7457.68,35033.12
Chittoor,Rice,Rabi,2020,22951,654.13,22.55,2000000,101874.32,167163.18
Guntur,Groundnut,Summer,2020,33063,1168.34,34.2,2100000,48992.32,58382.08
Sri Potti Sriramulu Nellore,Maize,Kharif,2017,33743,814.51,22.53,3100000,101048.34,193489.94
West Godavari,Rice,Rabi,2016,27521,1144.01,29.28,4300000,111668.8,346666.47
Chittoor,Maize,Rabi,2015,11731,306.83,24.42,2000000,43870.98,98727.3
Visakhapatnam,Sugarcane,Rabi,2014,19744,815.4,35.18,3600000,1556797.2,753430.99
Sri Potti Sriramulu Nellore,Groundnut,Summer,2013,19423,945.47,27.02,3100000,30525.43,63599.89
Visakhapatnam,Chilies,Summer,2016,18568,970.57,29.27,3600000,41885.99,20679.11
Krishna,Groundnut,Rabi,2012,48411,1114.48,28.86,4200000,53532.62,98176.01
Chittoor,Sugarcane,Summer,2017,4934,303.96,34.36,2000000,248785.5,431091.12
Guntur,Groundnut,Kharif,2011,12409,300.3,29.7,2100000,17257.04,43354.05
West Godavari,Chilies,Rabi,2010,32410,725.04,34.62,4300000,72332.62,24791.36
West Godavari,Cotton,Rabi,2020,31808,326.36,23.18,4300000,21227.63,35411.82
Prakasam,Maize,Summer,2011,9172,1177.08,25.07,3300000,35221.96,206520.8
West Godavari,Chilies,Rabi,2018,28358,499.86,30.82,4300000,73077.78,26320.04
YSR Kadapa,Rice,Kharif,2014,1777,725.4,37.15,3300000,5155.5,328499.77
Srikakulam,Sugarcane,Summer,2020,20763,355.02,23.2,3000000,1756832.7,555396.49
East Godavari,Cotton,Summer,2017,49673,769.84,22.69,2100000,47498.38,17872.88
Anantapur,Rice,Rabi,2012,36186,641.96,24.5,3300000,156390.09,399676.41
Guntur,Rice,Rabi,2016,32170,340.19,32.26,2100000,140640.73,251628.34
Chittoor,Sugarcane,Rabi,2011,21461,601.61,28.38,2000000,1508868.14,469329.07
Srikakulam,Cotton,Summer,2017,46222,652.29,35.21,3000000,41014.08,44697.98
Guntur,Rice,Rabi,2023,3439,1190.93,23.15,2100000,12895.12,246136.98
Chittoor,Rice,Kharif,2016,8804,487.1,25.14,2000000,27281.76,261050.7
Kurnool,Cotton,Rabi,2021,46791,790.3,26.8,4200000,32486.9,36919.8
Kurnool,Groundnut,Rabi,2014,48594,1188.58,32.03,4200000,65962.13,84779.48
Visakhapatnam,Rice,Summer,2021,14212,1012.82,32.96,3600000,41339.31,357412.55
Guntur,Maize,Rabi,2020,22653,1194.03,23.99,2100000,104605.22,126334.2
Kurnool,Cotton,Summer,2013,22971,1171.47,37.1,4200000,23499.22,43325.91
YSR Kadapa,Rice,Rabi,2010,2989,740.59,27.46,3300000,12769.97,412086.34
Chittoor,Sugarcane,Kharif,2014,8868,926.74,33.41,2000000,515705.21,513225.13
Visakhapatnam,Chilies,Kharif,2021,43026,399.4,30.39,3600000,62916.86,14824.49
West Godavari,Maize,Summer,2018,34712,697.03,25.56,4300000,160266.18,268283.54
Chittoor,Chilies,Summer,2019,25604,1028.12,35.54,2000000,47834.84,8817.51
Visakhapatnam,Chilies,Rabi,2013,23135,754.8,35.09,3600000,55281.9,20260.7
Guntur,Rice,Rabi,2022,31544,932.43,28.34,2100000,128901.25,274806.76
Srikakulam,Maize,Kharif,2018,38918,971.18,31.42,3000000,167385.72,193851.22
Prakasam,Maize,Rabi,2021,31847,528.12,26.13,3300000,108687.9,166629.5
West Godavari,Groundnut,Kharif,2011,44774,1088.13,33.04,4300000,51204.99,85196.42
Sri Potti Sriramulu Nellore,Chilies,Summer,2013,11680,713.84,26.94,3100000,19893.12,17176.46
Srikakulam,Maize,Rabi,2018,48972,489.17,35.51,3000000,197035.08,139810.04
Krishna,Groundnut,Summer,2013,31083,1078.87,25.48,4200000,60037.33,124512.3
YSR Kadapa,Cotton,Rabi,2014,35433,676.04,22.24,3300000,20925.66,34367.58
Chittoor,Groundnut,Kharif,2020,46579,975.28,26.3,2000000,57295.19,57843.81
Krishna,Sugarcane,Summer,2017,27309,793.23,25.06,4200000,2057616.74,1206059.8
Srikakulam,Rice,Summer,2010,42719,643.68,30.13,3000000,131966.05,316618.29
Visakhapatnam,Cotton,Rabi,2010,11349,1028.89,25.26,3600000,11032.16,35202.93
Sri Potti Sriramulu Nellore,Cotton,Summer,2018,10543,826.02,34.21,3100000,6609.62,41527.13
West Godavari,Sugarcane,Kharif,2018,10460,651.51,25.86,4300000,935674.36,826085.46
West Godavari,Groundnut,Summer,2013,35553,398.64,33.31,4300000,66524.55,100179.03
West Godavari,Rice,Summer,2022,29525,1105.9,31.26,4300000,127365.27,377317.5
YSR Kadapa,Groundnut,Rabi,2011,6948,331.92,37.78,3300000,8377.64,70630.07
Sri Potti Sriramulu Nellore,Maize,Summer,2022,15498,1076.87,38.0,3100000,55650.07,132479.81
YSR Kadapa,Groundnut,Rabi,2018,19991,623.97,35.91,3300000,35457.78,65894.91
YSR Kadapa,Cotton,Rabi,2023,25974,875.4,34.16,3300000,24616.8,41768.29
Anantapur,Rice,Summer,2013,36398,1129.98,28.18,3300000,143075.75,492991.95
Sri Potti Sriramulu Nellore,Groundnut,Kharif,2015,8660,436.54,34.05,3100000,12585.11,60658.65
Prakasam,Rice,Rabi,2021,27245,810.26,37.31,3300000,84577.67,373337.22
Sri Potti Sriramulu Nellore,Rice,Summer,2010,1238,987.99,22.37,3100000,5536.6,345226.01
Srikakulam,Maize,Rabi,2021,20920,981.83,30.61,3000000,65568.08,139336.13
Anantapur,Maize,Kharif,2018,47659,773.07,25.49,3300000,138449.86,202462.97
West Godavari,Cotton,Kharif,2014,10338,862.27,30.93,4300000,5834.59,56213.62
Srikakulam,Sugarcane,Rabi,2012,43517,981.77,29.46,3000000,3548860.53,541832.18
Srikakulam,Rice,Kharif,2013,11349,1056.92,31.21,3000000,29156.5,398996.16
Vizianagaram,Sugarcane,Summer,2010,47350,985.63,30.82,3300000,3391350.54,851474.68
East Godavari,Cotton,Summer,2023,12643,618.6,37.36,2100000,9309.05,19700.94
Anantapur,Rice,Rabi,2018,29274,1197.05,30.83,3300000,80752.52,413906.9
Srikakulam,Rice,Kharif,2023,46013,691.05,35.54,3000000,184293.59,322671.05
East Godavari,Chilies,Summer,2017,41667,322.02,27.12,2100000,61084.16,13406.36
East Godavari,Sugarcane,Summer,2013,40913,626.36,29.01,2100000,2551847.78,481852.47
Anantapur,Groundnut,Summer,2011,39629,415.0,29.53,3300000,61661.62,55023.96
Vizianagaram,Maize,Rabi,2023,46819,409.3,26.46,3300000,176310.88,222894.69
Krishna,Groundnut,Rabi,2018,17632,553.38,28.08,4200000,22625.97,99869.28
Visakhapatnam,Sugarcane,Summer,2013,28144,348.04,31.58,3600000,2473633.64,941296.49
Prakasam,Maize,Summer,2018,13321,919.66,31.28,3300000,67062.3,146561.29
Visakhapatnam,Groundnut,Kharif,2019,38091,366.59,32.18,3600000,54260.06,93952.13
Sri Potti Sriramulu Nellore,Chilies,Kharif,2012,30256,482.96,27.63,3100000,56654.16,16888.28
West Godavari,Maize,Kharif,2016,24485,383.61,27.05,4300000,86621.17,292289.69
Prakasam,Rice,Rabi,2016,3860,356.85,31.79,3300000,16393.76,402407.32
Sri Potti Sriramulu Nellore,Groundnut,Summer,2019,15919,540.98,24.13,3100000,24851.53,65002.75
Srikakulam,Maize,Rabi,2022,34337,814.71,26.05,3000000,103521.02,141201.28
West Godavari,Chilies,Summer,2013,9411,1168.22,22.67,4300000,22812.12,29479.66
Chittoor,Maize,Kharif,2011,10586,1088.0,23.16,2000000,43230.33,119213.49
Anantapur,Maize,Kharif,2020,25312,1088.34,25.89,3300000,96120.3,246052.56
Prakasam,Chilies,Kharif,2018,24055,458.46,22.31,3300000,43429.81,17513.79
Prakasam,Groundnut,Kharif,2013,35890,538.42,25.93,3300000,40896.08,84480.23
Srikakulam,Cotton,Summer,2017,29807,368.75,32.48,3000000,30379.8,37079.24
Krishna,Groundnut,Kharif,2023,21384,1000.62,22.98,4200000,36718.88,104689.8
East Godavari,Sugarcane,Summer,2011,48177,362.83,28.99,2100000,2627316.2,552672.11
West Godavari,Chilies,Summer,2017,29925,801.03,36.61,4300000,60254.66,19293.58
Srikakulam,Groundnut,Rabi,2020,4089,523.09,34.66,3000000,6338.02,71085.05
Kurnool,Maize,Kharif,2019,15242,519.1,26.89,4200000,48819.11,242842.06
Vizianagaram,Chilies,Kharif,2014,40978,1191.65,36.8,3300000,78377.22,17156.22
East Godavari,Rice,Rabi,2016,17433,981.1,27.27,2100000,66351.16,232114.09
Anantapur,Groundnut,Summer,2016,34282,1053.25,23.16,3300000,44758.91,76769.12
East Godavari,Chilies,Kharif,2021,11983,814.78,37.9,2100000,21544.6,10758.78
Krishna,Groundnut,Summer,2018,44738,1083.91,35.92,4200000,51888.28,84437.74
East Godavari,Chilies,Rabi,2012,44578,880.94,29.45,2100000,84514.93,13826.3
Anantapur,Maize,Summer,2019,43797,1151.56,32.66,3300000,184002.47,139729.05
Krishna,Rice,Kharif,2013,5671,553.2,32.74,4200000,15281.66,428011.15
Visakhapatnam,Rice,Summer,2019,25133,835.79,25.11,3600000,94023.74,452735.21
Prakasam,Sugarcane,Summer,2013,44209,921.12,25.2,3300000,2904854.69,624453.11
Prakasam,Chilies,Kharif,2022,1414,653.64,29.51,3300000,3130.34,19809.75
Vizianagaram,Groundnut,Kharif,2019,48861,1091.74,36.59,3300000,65148.97,66759.98
Sri Potti Sriramulu Nellore,Rice,Summer,2014,22242,1181.82,22.16,3100000,81046.48,430996.38
Visakhapatnam,Rice,Summer,2023,36184,744.39,34.52,3600000,135215.48,376197.31
Visakhapatnam,Cotton,Rabi,2015,39379,651.58,22.92,3600000,35104.16,34583.82
West Godavari,Cotton,Kharif,2012,16231,724.74,29.65,4300000,14986.58,50356.12
YSR Kadapa,Rice,Summer,2022,22849,1067.46,32.21,3300000,62522.6,295337.58
East Godavari,Chilies,Kharif,2013,42163,880.92,32.99,2100000,107865.24,14261.51
Prakasam,Sugarcane,Rabi,2012,32676,340.3,22.94,3300000,2758936.22,842173.05
Anantapur,Rice,Summer,2011,23056,787.95,28.7,3300000,83713.33,441987.56
Guntur,Maize,Summer,2019,42028,315.57,31.34,2100000,207486.41,113317.55
YSR Kadapa,Groundnut,Summer,2021,20947,1000.68,23.06,3300000,29204.09,91377.16
Guntur,Sugarcane,Kharif,2018,46416,595.48,24.16,2100000,2341224.67,481103.15
Krishna,Maize,Rabi,2010,27040,724.81,32.62,4200000,122893.43,181920.76
Prakasam,Sugarcane,Kharif,2011,47110,1018.81,30.35,3300000,4174909.6,631501.51
Prakasam,Maize,Summer,2017,47978,341.8,24.59,3300000,152975.51,214126.6
YSR Kadapa,Groundnut,Rabi,2016,26282,442.69,30.56,3300000,42826.17,94214.71
Vizianagaram,Groundnut,Summer,2021,27201,658.16,36.6,3300000,48474.44,57197.57
YSR Kadapa,Cotton,Summer,2010,7833,506.93,22.25,3300000,7789.39,46363.36
Guntur,Chilies,Kharif,2014,5752,604.11,32.28,2100000,9961.51,14273.16
YSR Kadapa,Maize,Summer,2019,25507,1198.36,23.18,3300000,79300.27,173182.8
Prakasam,Cotton,Rabi,2015,21169,1042.87,22.1,3300000,14373.07,42322.29
Vizianagaram,Maize,Summer,2014,45746,1095.51,24.41,3300000,191517.09,153592.88
East Godavari,Cotton,Summer,2013,42495,1143.35,28.77,2100000,42537.05,28756.88
Kurnool,Groundnut,Kharif,2023,25930,606.84,34.84,4200000,40821.14,105851.53
West Godavari,Sugarcane,Rabi,2022,6023,567.37,26.51,4300000,527759.92,952175.29
Chittoor,Cotton,Kharif,2010,1982,510.66,32.01,2000000,1842.5,28103.24
Visakhapatnam,Maize,Summer,2016,15305,1047.11,28.58,3600000,64834.04,161543.55
YSR Kadapa,Maize,Kharif,2018,17146,911.6,25.75,3300000,48905.82,229688.24
Sri Potti Sriramulu Nellore,Chilies,Kharif,2015,12201,512.55,30.23,3100000,21958.03,12659.17
Krishna,Groundnut,Kharif,2012,17910,639.29,34.76,4200000,19731.69,111488.18
Kurnool,Maize,Kharif,2019,24031,756.04,35.32,4200000,85871.93,252284.52
West Godavari,Rice,Summer,2023,24636,775.33,35.54,4300000,63583.06,553713.71
West Godavari,Sugarcane,Summer,2013,18314,1099.85,27.42,4300000,1026467.95,936231.4
West Godavari,Cotton,Rabi,2019,28332,642.51,34.7,4300000,21450.99,60419.68
West Godavari,Chilies,Kharif,2014,19330,1117.67,25.39,4300000,39005.27,21912.89
Guntur,Sugarcane,Kharif,2021,16365,697.23,33.81,2100000,951133.0,416836.85
Vizianagaram,Groundnut,Rabi,2021,44501,971.74,37.17,3300000,76066.43,66740.88
Visakhapatnam,Chilies,Kharif,2010,11108,1137.23,22.22,3600000,23420.52,24156.98
Prakasam,Cotton,Rabi,2014,4360,1116.82,29.05,3300000,3889.32,37841.24
West Godavari,Cotton,Summer,2010,43553,351.26,32.36,4300000,39708.47,50566.27
Sri Potti Sriramulu Nellore,Rice,Rabi,2018,41880,485.13,33.23,3100000,166537.19,428469.23
Prakasam,Groundnut,Kharif,2016,49784,729.21,24.82,3300000,94221.72,91301.49
Anantapur,Chilies,Rabi,2012,4625,688.4,37.55,3300000,7791.57,15068.08
Anantapur,Chilies,Summer,2018,39237,876.8,31.84,3300000,67651.92,19549.82
Sri Potti Sriramulu Nellore,Maize,Kharif,2011,2223,1150.24,24.63,3100000,6726.98,137672.98
Vizianagaram,Rice,Summer,2021,40878,401.16,22.33,3300000,151020.96,464630.08
Sri Potti Sriramulu Nellore,Rice,Summer,2016,10157,706.67,34.53,3100000,33313.84,429630.24
Guntur,Chilies,Rabi,2018,47019,473.17,23.28,2100000,93823.53,14642.71
YSR Kadapa,Chilies,Summer,2015,38760,1104.7,24.26,3300000,62162.74,21341.12
Sri Potti Sriramulu Nellore,Sugarcane,Kharif,2019,14646,1168.12,31.2,3100000,1116911.73,698624.75
East Godavari,Sugarcane,Summer,2014,45638,730.83,31.66,2100000,3422795.83,454988.04
Prakasam,Sugarcane,Summer,2021,30024,393.61,32.99,3300000,1805071.28,710593.75
Kurnool,Rice,Rabi,2016,5787,1006.77,28.3,4200000,19834.22,355466.56
Srikakulam,Maize,Summer,2023,24202,927.43,34.38,3000000,119710.89,219631.38
Vizianagaram,Cotton,Rabi,2015,44908,619.2,37.59,3300000,41821.9,36801.37
Sri Potti Sriramulu Nellore,Sugarcane,Rabi,2014,37067,1098.67,26.34,3100000,2169592.4,899669.87
Krishna,Maize,Kharif,2023,10360,1178.25,33.25,4200000,50859.85,297250.86
Anantapur,Groundnut,Kharif,2011,33692,802.07,36.86,3300000,37417.72,91081.8
East Godavari,Sugarcane,Kharif,2017,40219,809.16,32.98,2100000,2669938.31,508962.81
Visakhapatnam,Cotton,Kharif,2022,13941,567.76,32.9,3600000,8343.09,31359.21
West Godavari,Groundnut,Rabi,2016,16993,826.06,25.58,4300000,31977.3,88299.47
Srikakulam,Groundnut,Summer,2015,15620,695.68,30.56,3000000,16973.19,73350.62
Vizianagaram,Cotton,Kharif,2014,21193,571.97,31.0,3300000,13406.59,26710.83
Kurnool,Sugarcane,Kharif,2014,22248,360.47,33.2,4200000,1945179.96,697066.98
Srikakulam,Rice,Kharif,2018,46852,527.44,37.95,3000000,172065.42,382309.31
Sri Potti Sriramulu Nellore,Cotton,Summer,2010,6027,478.07,22.54,3100000,5675.57,44074.0
Guntur,Cotton,Kharif,2018,5260,787.84,23.04,2100000,2987.02,29370.9
Anantapur,Cotton,Summer,2015,38596,841.5,23.25,3300000,29377.95,30284.16
Anantapur,Groundnut,Rabi,2013,42540,847.71,33.89,3300000,82358.25,94898.99
Visakhapatnam,Maize,Rabi,2019,10012,649.36,24.18,3600000,41965.96,231734.08
Guntur,Rice,Rabi,2023,26823,679.11,31.96,2100000,113577.54,273299.92
West Godavari,Sugarcane,Summer,2016,9315,1050.81,27.19,4300000,833408.37,871032.8
Prakasam,Sugarcane,Kharif,2018,48027,728.61,29.32,3300000,3735141.5,858790.51
Chittoor,Maize,Kharif,2014,13631,1189.0,25.45,2000000,48885.03,129684.06
East Godavari,Cotton,Kharif,2023,19258,695.66,35.86,2100000,13637.19,25541.58
Anantapur,Rice,Kharif,2014,26099,884.62,31.38,3300000,67849.12,346533.62
Krishna,Sugarcane,Kharif,2017,36891,345.33,37.11,4200000,2470458.51,1148876.49
Anantapur,Chilies,Summer,2016,37992,888.01,31.19,3300000,94921.77,24028.33
Srikakulam,Sugarcane,Rabi,2022,32376,1066.28,23.98,3000000,2236489.46,845353.14
Anantapur,Cotton,Kharif,2022,11977,1148.21,24.73,3300000,11944.39,32012.82
Vizianagaram,Chilies,Rabi,2017,27694,1197.59,37.83,3300000,65927.51,18347.53
Anantapur,Maize,Summer,2020,48376,553.96,33.61,3300000,249719.29,171548.86
Chittoor,Rice,Summer,2021,34978,817.83,22.79,2000000,155307.92,259047.14
Chittoor,Maize,Kharif,2019,10218,705.65,33.26,2000000,45935.63,138204.32
West Godavari,Maize,Summer,2011,22788,807.44,28.59,4300000,111454.32,204477.32
Kurnool,Rice,Rabi,2018,21501,441.71,26.92,4200000,86454.73,614499.01
Prakasam,Rice,Kharif,2012,13453,1070.53,24.46,3300000,52831.66,420463.03
Krishna,Sugarcane,Kharif,2015,39197,1118.61,35.44,4200000,3098660.13,800447.35
Anantapur,Sugarcane,Rabi,2015,16210,704.7,23.02,3300000,1285190.96,699445.71
Anantapur,Rice,Kharif,2011,9689,552.39,26.64,3300000,31458.05,288164.18
East Godavari,Chilies,Kharif,2021,46489,426.75,26.9,2100000,88713.79,12788.46
Chittoor,Groundnut,Rabi,2022,28381,915.39,24.57,2000000,37311.48,36737.36
Krishna,Sugarcane,Kharif,2016,30508,581.01,30.13,4200000,1684863.61,1079536.88
West Godavari,Groundnut,Kharif,2018,43653,1118.58,22.19,4300000,63846.84,113182.25
Visakhapatnam,Chilies,Rabi,2021,22142,903.91,26.82,3600000,54910.81,20439.62
Kurnool,Rice,Summer,2019,41950,881.12,36.94,4200000,160150.66,363582.13
Prakasam,Chilies,Rabi,2020,9916,803.46,26.97,3300000,14550.9,20255.59
Guntur,Sugarcane,Kharif,2010,1375,341.2,27.77,2100000,114221.8,445428.34
Prakasam,Maize,Rabi,2017,32449,1138.73,29.57,3300000,163704.03,241684.28
Vizianagaram,Rice,Kharif,2011,24797,865.14,30.99,3300000,103943.75,382550.52
Srikakulam,Cotton,Kharif,2023,21782,1194.66,34.94,3000000,19804.63,25517.59
Vizianagaram,Groundnut,Rabi,2010,28028,783.62,25.05,3300000,33216.22,82185.47
Anantapur,Chilies,Kharif,2017,21243,939.1,35.95,3300000,38636.77,22201.54
Kurnool,Rice,Summer,2011,30379,350.59,34.12,4200000,110491.54,383187.83
Srikakulam,Chilies,Kharif,2015,38780,868.56,33.56,3000000,57868.79,16715.1
Krishna,Rice,Rabi,2015,31740,988.18,23.39,4200000,84846.33,554499.9
Guntur,Sugarcane,Summer,2014,20984,1000.66,22.35,2100000,1851600.14,342025.12
Chittoor,Sugarcane,Summer,2017,1050,993.1,31.5,2000000,82438.68,328111.54
Kurnool,Sugarcane,Kharif,2012,7590,503.65,35.81,4200000,459602.25,1070024.3
Kurnool,Chilies,Rabi,2022,41205,1177.86,31.35,4200000,73873.66,27459.36
Vizianagaram,Cotton,Kharif,2019,16162,1195.66,25.41,3300000,12033.03,45939.58
Anantapur,Sugarcane,Kharif,2013,14105,368.04,23.45,3300000,735617.98,712615.11
Sri Potti Sriramulu Nellore,Rice,Rabi,2016,38499,1142.8,33.19,3100000,154083.46,332581.54
West Godavari,Sugarcane,Rabi,2016,37641,560.5,33.55,4300000,2123969.78,1020525.52
Vizianagaram,Maize,Kharif,2022,12628,920.36,24.76,3300000,59759.33,219471.26
Kurnool,Sugarcane,Summer,2021,43032,604.3,22.45,4200000,3637350.46,1048903.41
YSR Kadapa,Chilies,Kharif,2023,39516,1170.98,28.53,3300000,85596.44,16980.58
East Godavari,Cotton,Summer,2017,22621,391.35,31.32,2100000,21026.91,21894.24
Guntur,Maize,Kharif,2011,2476,747.97,33.3,2100000,7953.91,140080.86
West Godavari,Chilies,Rabi,2020,41800,685.24,34.96,4300000,87409.1,25246.43
Vizianagaram,Chilies,Summer,2021,36788,593.42,31.77,3300000,81380.91,14331.62
Guntur,Chilies,Rabi,2011,25437,880.98,23.77,2100000,55805.54,9524.51
East Godavari,Rice,Rabi,2013,27240,417.95,32.92,2100000,73447.45,293124.99
Visakhapatnam,Chilies,Rabi,2022,46452,945.0,37.75,3600000,84229.5,26984.92
East Godavari,Rice,Rabi,2019,11922,1182.53,36.49,2100000,37346.6,217345.39
East Godavari,Chilies,Rabi,2022,49154,1024.1,35.95,2100000,102585.98,11242.26
Guntur,Groundnut,Kharif,2018,9066,1074.02,26.83,2100000,15763.18,38141.95
Prakasam,Maize,Summer,2019,13089,623.67,34.01,3300000,54573.5,159224.86
Guntur,Groundnut,Kharif,2021,33600,592.4,35.62,2100000,58105.98,46084.12
Sri Potti Sriramulu Nellore,Chilies,Kharif,2018,47176,765.34,32.85,3100000,71649.07,15485.63
Anantapur,Maize,Kharif,2022,9167,341.15,26.01,3300000,44987.35,213014.57
Srikakulam,Maize,Rabi,2022,13816,1150.82,37.26,3000000,56478.16,176474.19
Prakasam,Cotton,Kharif,2013,22164,429.41,29.21,3300000,12810.78,45395.06
Chittoor,Groundnut,Summer,2018,21429,1112.71,24.08,2000000,34905.52,52286.7
Srikakulam,Cotton,Kharif,2023,36001,375.22,23.76,3000000,29100.57,26690.11
Anantapur,Maize,Rabi,2012,32415,1040.36,32.36,3300000,107905.87,146251.43
Vizianagaram,Rice,Summer,2021,9117,436.77,29.0,3300000,36972.11,470894.84
West Godavari,Maize,Summer,2014,48318,334.32,23.51,4300000,243549.96,295336.44
Sri Potti Sriramulu Nellore,Cotton,Summer,2019,7359,947.54,33.85,3100000,5260.86,34953.81
Sri Potti Sriramulu Nellore,Groundnut,Summer,2018,15364,552.24,34.79,3100000,22961.87,55257.8
Chittoor,Chilies,Kharif,2015,37965,943.05,33.61,2000000,58990.4,14290.03
Prakasam,Chilies,Rabi,2012,29794,799.58,25.24,3300000,74954.54,15864.59
Visakhapatnam,Groundnut,Summer,2019,11293,397.93,33.04,3600000,15097.8,59390.95
East Godavari,Chilies,Summer,2018,10332,1138.92,22.17,2100000,16879.82,15193.16
Prakasam,Chilies,Rabi,2015,1615,707.08,26.88,3300000,3188.19,22543.21
West Godavari,Cotton,Kharif,2013,46612,961.0,28.38,4300000,27071.11,55273.8
Visakhapatnam,Groundnut,Summer,2023,13401,750.92,35.36,3600000,17120.49,59315.13
Sri Potti Sriramulu Nellore,Sugarcane,Kharif,2013,42936,843.93,28.25,3100000,2225872.01,725339.13
Guntur,Rice,Kharif,2017,30372,572.5,22.18,2100000,82535.29,264084.51
